ID,WJM,ZP
1,3,4
2,4,4
3,4,5
4,4,5
5,3,4
6,4,3
7,4,3
8,4,3
9,3,3
10,1,1
11,3,3
12,3,2
13,4,5
14,5,5
15,4,4
16,4,4
17,4,5
18,5,5
19,4,5
20,3,4
21,3,5
22,5,5
23,4,3
24,4,4
25,1,1
26,4,3
27,3,3
28,4,4
29,4,3
30,4,4
31,4,5
32,5,5
33,4,5
34,5,5
35,4,3
36,4,4
37,4,4
38,4,3
39,3,4
40,4,3
41,4,3
42,4,4
43,3,3
44,2,2
45,4,4
46,3,3
47,4,5
48,4,5
49,4,4
50,3,3
51,4,5
52,2,3
53,4,4
54,4,4
55,1,2
56,1,1
57,4,4
58,4,4
59,1,1
60,4,3
61,4,3
62,3,2
63,4,3
64,4,2
65,3,3
66,4,5
67,4,4
68,4,5
69,4,4
70,1,2
71,2,3
72,4,3
73,4,5
74,3,4
75,2,4
76,5,5
77,1,2
78,1,1
79,1,1
80,4,4
81,5,5
82,3,3
83,1,1
84,5,5
85,5,4
86,3,3
87,1,1
88,1,1
89,4,4
90,1,1
91,5,4
92,1,1
93,1,1
94,4,3
95,2,1
96,5,5
97,4,4
98,2,3
99,4,5
100,4,4
101,5,5
102,5,5
103,4,5
104,5,5
105,5,5
106,4,4
107,4,4
108,4,4
109,1,1
110,4,5
111,4,4
112,5,4
113,5,5
114,4,5
115,5,5
116,4,4
117,4,4
118,3,3
119,4,4
120,5,5
121,5,5
122,4,3
123,5,5
124,4,3
125,3,2
126,1,1
127,4,4
128,2,3
129,4,3
130,4,5
131,4,4
132,3,3
133,4,4
134,4,4
135,4,4
136,4,4
137,4,3
138,4,4
139,2,2
140,4,4
141,4,3
142,4,4
143,3,4
144,4,4
145,4,4
146,4,3
147,4,5
148,2,2
149,3,3
150,1,1
151,1,1
152,1,2
153,5,5
154,3,3
155,2,3
156,5,5
157,1,1
158,5,1
159,5,5
160,5,4
161,1,1
162,4,5
163,5,5
164,1,1
165,4,1
166,5,4
167,5,5
168,5,5
169,2,2
170,1,1
171,3,4
172,1,1
173,5,4
174,5,4
175,3,3
176,5,4
177,4,3
178,3,2
179,5,5
180,5,4
181,4,5
182,1,1
183,5,4
184,2,1
185,5,4
186,5,5
187,3,3
188,4,5
189,5,5
190,5,5
191,4,4
192,1,1
193,3,2
194,4,4
195,4,4
196,1,2
197,2,1
198,5,4
199,5,4
200,3,2
201,5,5
202,5,5
203,4,4
204,4,3
205,5,5
206,1,1
207,2,1
208,1,1
209,1,1
210,4,4
211,1,1
212,5,5
213,5,4
214,4,3
215,3,3
216,4,3
217,5,5
218,4,4
219,4,4
220,5,4
221,5,4
222,3,3
223,4,4
224,3,4
225,5,3
226,5,4
227,4,5
228,5,4
229,5,5
230,5,5
231,5,4
232,4,4
233,5,4
234,5,5
235,3,3
236,3,4
237,5,4
238,4,4
239,5,3
240,1,2
241,1,2
242,5,5
243,5,5
244,5,4
245,2,1
246,5,4
247,5,4
248,4,4
249,4,4
250,5,4
251,5,4
252,1,1
253,1,1
254,5,5
255,5,4
256,5,4
257,4,5
258,4,4
259,5,3
260,4,4
261,3,2
262,5,5
263,5,4
264,3,3
265,3,4
266,4,4
267,3,3
268,4,3
269,2,2
270,4,3
271,5,3
272,1,1
273,2,2
274,3,2
275,5,4
276,4,4
277,2,1
278,5,3
279,5,4
280,5,5
281,2,1
282,1,1
283,4,4
284,5,4
285,4,3
286,5,4
287,1,1
288,5,5
289,4,4
290,1,1
291,5,3
292,5,5
293,1,1
294,3,2
295,3,2
